classic-3,elapsed time,found,front,igd,hv,spacing
hybrid0.3,72.75,85.3,35.1,32.05,0.28,25.54
hybrid0.5,119.96,78.5,26.8,95.73,0.25,26.81
hybrid0.7,127.78,80.2,21.4,100.51,0.27,36.38
hybrid0.9,178.25,70.6,18.3,170.48,0.28,23.09
hybrid,206.03,63.8,20.4,181.33,0.26,20.42
